STN--- WBAN   YEARMODA    TEMP       DEWP      SLP        STP       VISIB      WDSP     MXSPD   GUST    MAX     MIN   PRCP   SNDP   FRSHTT 
704540 25704  19421226    30.6 24    23.3 24  1025.7 24  9999.9  0   67.8 24    6.6 24   13.0  999.9    31.3*   27.3* 99.99  999.9  001000 
704540 25704  19421227    30.9 24    24.6 24  1018.1 24  9999.9  0   68.5 24    4.2 24    9.9  999.9    35.4*   24.4*  0.00I 999.9  100000 
704540 25704  19421228    35.2 24    32.5 24  1003.7 24  9999.9  0   10.9 24   12.2 24   26.0  999.9    36.3*   34.0* 99.99  999.9  011000 
704540 25704  19421229    38.1 24    36.0 24   991.4 24  9999.9  0   39.1 24   14.7 24   26.0  999.9    40.3*   34.3* 99.99  999.9  011000 
704540 25704  19421230    35.1 24    28.2 24  1003.7 23  9999.9  0   91.6 24   10.2 24   22.0  999.9    38.3*   33.4* 99.99  999.9  001000 
704540 25704  19421231    31.0 24    25.4 24  1011.4 24  9999.9  0   64.4 24    2.0 24    8.9  999.9    38.3*   27.3*  0.00I 999.9  100000 
704540 25704  19430101    38.1 24    32.6 24  1006.7 24  9999.9  0   43.0 24   14.1 24   29.9  999.9    42.4*   35.4* 99.99  999.9  011000 
704540 25704  19430102    38.0 24    34.6 24   991.3 24  9999.9  0   36.7 24   13.2 24   35.0  999.9    41.4*   35.4* 99.99  999.9  111000 
704540 25704  19430103    36.3 24    31.4 24   996.2 24  9999.9  0   68.6 24   12.2 24   26.0  999.9    38.3*   31.3* 99.99  999.9  011000 
704540 25704  19430104    35.6 24    32.6 24   983.3 24  9999.9  0   28.1 24    8.0 24   26.0  999.9    37.4*   33.4* 99.99  999.9  011000 
704540 25704  19430105    33.7 24    29.5 24   989.9 24  9999.9  0   48.0 24   16.7 24   26.0  999.9    38.3*   27.3* 99.99  999.9  011000 
704540 25704  19430106    25.0 24    17.9 24   997.9 24  9999.9  0   56.2 24   15.5 24   26.0  999.9    28.4*   22.5* 99.99  999.9  001000 
704540 25704  19430107    21.0 24    14.4 24  1002.2 24  9999.9  0   68.0 24    4.9 24   13.0  999.9    24.4*   15.4* 99.99  999.9  001000 
704540 25704  19430108    27.7 24    18.1 24  1003.9 24  9999.9  0   79.8 24    5.0 24    9.9  999.9    30.4*   20.3*  0.00I 999.9  000000 
704540 25704  19430109    31.9 24    23.9 24  1001.4 24  9999.9  0   55.3 24   21.6 24   42.9  999.9    33.4*   29.3* 99.99  999.9  001000 
704540 25704  19430110    30.5 24    23.0 24  1002.7 24  9999.9  0    5.0 24   33.1 24   42.9  999.9    32.4*   28.4* 99.99  999.9  001000 
704540 25704  19430111    28.4 24    20.6 24  1003.3 24  9999.9  0    5.1 24   32.3 24   39.0  999.9    29.3*   28.4* 99.99  999.9  001000 
704540 25704  19430112    29.9 24    20.1 24  1018.1 24  9999.9  0   45.1 24   22.8 24   35.0  999.9    32.4*   28.4* 99.99  999.9  001000 
704540 25704  19430113    32.6 24    24.1 24  1031.2 24  9999.9  0   91.8 24   10.3 24   16.9  999.9    34.3*   31.3* 99.99  999.9  001000 
704540 25704  19430114    34.6 24    27.5 24  1025.0 24  9999.9  0   21.8 24   21.2 24   29.9  999.9    36.3*   32.4* 99.99  999.9  001000 
704540 25704  19430115    34.1 24    31.9 24   999.0 24  9999.9  0    2.3 24   23.2 24   35.0  999.9    37.4*   30.4* 99.99  999.9  011000 
704540 25704  19430116    38.3 24    35.5 24  1006.8 24  9999.9  0   46.9 24   16.7 24   35.0  999.9    40.3*   35.4* 99.99  999.9  110000 
704540 25704  19430117    41.8 24    40.6 24  1000.7 24  9999.9  0    1.5 24   29.6 24   42.9  999.9    43.3*   40.3* 99.99  999.9  110000 
704540 25704  19430118    39.1 24    36.8 24   998.5 24  9999.9  0   24.6 24   19.6 24   52.1  999.9    42.4*   36.3* 99.99  999.9  010000 
704540 25704  19430119    41.2 24    38.8 24   989.0 24  9999.9  0   27.0 24   17.8 24   26.0  999.9    43.3*   39.4* 99.99  999.9  010000 
704540 25704  19430120    39.9 24    36.7 24   981.1 24  9999.9  0   39.0 24   17.9 24   26.0  999.9    41.4*   38.3* 99.99  999.9  010000 
704540 25704  19430121    40.2 24    37.0 24  1001.7 24  9999.9  0   88.8 24   13.5 24   22.0  999.9    41.4*   37.9*  0.00I 999.9  000000 
704540 25704  19430122    39.1 24    36.7 24  1007.5 24  9999.9  0   67.6 23    6.5 24   13.0  999.9    42.4*   36.3*  0.00I 999.9  100000 
704540 25704  19430123    34.1 24    31.0 24  1001.8 24  9999.9  0   29.8 24   14.4 24   22.0  999.9    37.4*   32.4* 99.99  999.9  111000 
704540 25704  19430124    31.3 24    25.6 24  1002.9 24  9999.9  0   91.6 24   15.4 24   22.0  999.9    34.3*   30.4* 99.99  999.9  001000 
704540 25704  19430125    27.5 24    21.4 24  1003.9 24  9999.9  0   40.5 24    7.2 24   13.0  999.9    31.3*   24.4* 99.99  999.9  001000 
